# wave, flux, fluxerr, csub, csuberr, spline_flux
5.738582611083984375e+00,6.515133628574829139e+00,1.685294261009524508e+00,3.160461441718585007e-01,1.685294261009524508e+00,6.199087484402970638e+00
5.769568443298339844e+00,5.610239821267507310e+00,1.828868257265098496e+00,-6.618662304374520744e-01,1.828868257265098496e+00,6.272106051704959384e+00
5.800553321838378906e+00,6.564804612945406959e+00,1.927780864776698522e+00,2.307879851000924631e-01,1.927780864776698522e+00,6.334016627845314495e+00
5.831539154052734375e+00,6.571290344381907289e+00,2.046062143976763448e+00,1.854635072880252977e-01,2.046062143976763448e+00,6.385826837093881991e+00
5.862524509429931641e+00,7.019516335553094066e+00,2.122899038725308163e+00,5.909784808565463621e-01,2.122899038725308163e+00,6.428537854696547704e+00
5.893509864807128906e+00,7.501410642436221465e+00,2.135308320522829373e+00,1.038256296706350668e+00,2.135308320522829373e+00,6.463154345729870798e+00
5.924495220184326172e+00,7.997516978900556239e+00,2.107219979617899419e+00,1.506836876087816357e+00,2.107219979617899419e+00,6.490680102812739882e+00
5.955480575561523438e+00,7.403239842658926761e+00,2.054718256078639005e+00,8.911209240948867460e-01,2.054718256078639005e+00,6.512118918564040015e+00
5.986465930938720703e+00,7.947210146286797006e+00,1.983688561164003605e+00,1.418735560684135422e+00,1.983688561164003605e+00,6.528474585602661584e+00
6.017451286315917969e+00,8.565602250558015385e+00,1.917729886129585726e+00,2.024851354010522186e+00,1.917729886129585726e+00,6.540750896547493198e+00
6.048436641693115234e+00,7.726622613883714408e+00,1.858070840676505409e+00,1.176670969866292715e+00,1.858070840676505409e+00,6.549951644017421692e+00
6.079421997070312500e+00,7.747756152732621970e+00,1.782148625057015767e+00,1.190675532101281853e+00,1.782148625057015767e+00,6.557080620631340118e+00
6.110407352447509766e+00,8.475714759765549999e+00,1.719456697798336098e+00,1.912573140757415580e+00,1.719456697798336098e+00,6.563141619008134420e+00
6.141392707824707031e+00,1.105884279914784152e+01,1.691706238650903193e+00,4.489704367381148309e+00,1.691706238650903193e+00,6.569138431766693209e+00
6.172378063201904297e+00,1.349813871767522500e+01,1.664281186583449923e+00,6.922063866149320788e+00,1.664281186583449923e+00,6.576074851525904208e+00
6.203363418579101562e+00,1.611663266831467922e+01,1.665220858618761568e+00,9.531677997410021419e+00,1.665220858618761568e+00,6.584954670904656915e+00
6.234348773956298828e+00,1.531294963768609207e+01,1.659345233160426147e+00,8.716167955164252135e+00,1.659345233160426147e+00,6.596781682521839940e+00
6.265334129333496094e+00,1.382528872860928182e+01,1.658412491479472006e+00,7.212729049612939036e+00,1.658412491479472006e+00,6.612559678996342782e+00
6.296319484710693359e+00,1.285229944076671771e+01,1.738144349262921384e+00,6.219006987819665433e+00,1.738144349262921384e+00,6.633292452947052276e+00
6.327304840087890625e+00,1.179335871346141928e+01,1.836392283413082360e+00,5.133374916468561366e+00,1.836392283413082360e+00,6.659983796992857918e+00
6.358290195465087891e+00,1.155670591074998832e+01,1.888295525293511412e+00,4.863068406997340887e+00,1.888295525293511412e+00,6.693637503752647433e+00
6.389275550842285156e+00,1.125806631661521529e+01,1.934539111976141701e+00,4.522808950769904079e+00,1.934539111976141701e+00,6.735257365845311206e+00
6.420260906219482422e+00,1.017652040538838065e+01,1.963172974869662246e+00,3.390673229498643693e+00,1.963172974869662246e+00,6.785847175889736960e+00
6.451246261596679688e+00,7.754446379022303049e+00,1.963284267208987188e+00,9.080356525174906324e-01,1.963284267208987188e+00,6.846410726504812416e+00
6.482231616973876953e+00,7.825083278007946674e+00,2.059398640360249111e+00,9.071314676985196002e-01,2.059398640360249111e+00,6.917951810309427074e+00
6.513216972351074219e+00,8.424665083569053081e+00,2.227992914856883999e+00,1.423190863646581761e+00,2.227992914856883999e+00,7.001474219922471320e+00
6.544202327728271484e+00,8.205607615043508218e+00,2.500307824281450486e+00,1.107625867080676230e+00,2.500307824281450486e+00,7.097981747962831989e+00
6.575187683105468750e+00,7.208478187049393249e+00,2.797385080596207274e+00,-8.881784197001252323e-16,2.797385080596207274e+00,7.208478187049394137e+00
6.606173038482666016e+00,8.306498009869267563e+00,2.912502925396172948e+00,9.728320729465149697e-01,2.912502925396172948e+00,7.333665936922752593e+00
6.637158393859863281e+00,7.862757110693536333e+00,2.705349005234826798e+00,3.897152848832501348e-01,2.705349005234826798e+00,7.473041825810286198e+00
6.668143749237060547e+00,7.368338284978297459e+00,2.507238723923777890e+00,-2.574630040827852184e-01,2.507238723923777890e+00,7.625801289061082677e+00
6.699129104614257812e+00,8.716309463954752701e+00,2.313342026417418040e+00,9.251697019305265002e-01,2.313342026417418040e+00,7.791139762024226201e+00
6.730114459991455078e+00,7.274970641398938120e+00,2.242291801503839999e+00,-6.932820386498592669e-01,2.242291801503839999e+00,7.968252680048797387e+00
6.761099815368652344e+00,7.109643429258994729e+00,2.236492855500913812e+00,-1.046692049224892784e+00,2.236492855500913812e+00,8.156335478483887513e+00
6.792085170745849609e+00,7.901316153806774878e+00,2.281178130215265831e+00,-4.532674388717996550e-01,2.281178130215265831e+00,8.354583592678574533e+00
6.823070526123046875e+00,8.033928281323394316e+00,2.268874266978503140e+00,-5.282641766585491894e-01,2.268874266978503140e+00,8.562192457981943505e+00
6.854055881500244141e+00,8.395620052465222471e+00,2.240235216996203427e+00,-3.827374572778587947e-01,2.240235216996203427e+00,8.778357509743081266e+00
6.885041236877441406e+00,9.343427644053768688e+00,2.218480125932162927e+00,3.411534607426975896e-01,2.218480125932162927e+00,9.002274183311071099e+00
6.916027069091796875e+00,8.856948570601101522e+00,2.228775240170675964e+00,-3.761929455501782371e-01,2.228775240170675964e+00,9.233141516151279760e+00
6.947011947631835938e+00,8.542288495829478023e+00,2.405109047263443323e+00,-9.278556414344620862e-01,2.405109047263443323e+00,9.470144137263940110e+00
6.977997779846191406e+00,1.006265041005498162e+01,2.405844281719541122e+00,3.501583552999427695e-01,2.405844281719541122e+00,9.712492054755038851e+00
7.008982658386230469e+00,1.068586136854805169e+01,2.585968600132756645e+00,7.264955659148242262e-01,2.585968600132756645e+00,9.959365802633227460e+00
7.039968490600585938e+00,9.064159407556948267e+00,2.613428747105654537e+00,-1.145816589088459736e+00,2.613428747105654537e+00,1.020997599664540800e+01
7.070953845977783203e+00,9.874925745374564912e+00,2.636221371757094367e+00,-5.885808368212135377e-01,2.636221371757094367e+00,1.046350658219577845e+01
7.101939201354980469e+00,1.191552543963910438e+01,2.685536184162593099e+00,1.196368615024049120e+00,2.685536184162593099e+00,1.071915682461505526e+01
7.132924079895019531e+00,1.183421207161137545e+01,2.773454562960594671e+00,8.580428434656131031e-01,2.773454562960594671e+00,1.097616922814576235e+01
7.163909912109375000e+00,1.072772018374539016e+01,2.701383772399974958e+00,-5.062860913911251259e-01,2.701383772399974958e+00,1.123400627513651528e+01
7.194895267486572266e+00,1.157331362192264912e+01,2.816493468600465011e+00,8.115591917597875238e-02,2.816493468600465011e+00,1.149215770274667037e+01
7.225880622863769531e+00,1.134927539970317056e+01,3.088657126563580491e+00,-4.008536996985760936e-01,3.088657126563580491e+00,1.175012909940174666e+01
7.256865978240966797e+00,1.221463617165422022e+01,3.486075061759962068e+00,2.072140809434976916e-01,3.486075061759962068e+00,1.200742209071072253e+01
7.287851333618164062e+00,1.232104857491611050e+01,3.813896513352921680e+00,5.751027263353236663e-02,3.813896513352921680e+00,1.226353830228257813e+01
7.318836688995361328e+00,1.302816028465885623e+01,3.794399269586238521e+00,5.101809249325679474e-01,3.794399269586238521e+00,1.251797935972628828e+01
7.349822044372558594e+00,1.558636913322768969e+01,3.602748025147829658e+00,2.816122244576856559e+00,3.602748025147829658e+00,1.277024688865083313e+01
7.380807399749755859e+00,1.753393168492181786e+01,3.465745174660187722e+00,4.514089170256635697e+00,3.465745174660187722e+00,1.301984251466518216e+01
7.411792755126953125e+00,1.756659996354156661e+01,3.354936068594880361e+00,4.300332100163243965e+00,3.354936068594880361e+00,1.326626786337832264e+01
7.442778110504150391e+00,1.749466307024741596e+01,3.275976470928421591e+00,3.985638509848188349e+00,3.275976470928421591e+00,1.350902456039922761e+01
7.473763465881347656e+00,1.797830996894145628e+01,3.229188684567511736e+00,4.230695737604575513e+00,3.229188684567511736e+00,1.374761423133688076e+01
7.504748821258544922e+00,2.047605596068842715e+01,3.297851087664949166e+00,6.494517458888179107e+00,3.297851087664949166e+00,1.398153850180024804e+01
7.533705711364746094e+00,2.354661083221435547e+01,3.214136719703674316e+00,9.351119917394326464e+00,3.214136719703674316e+00,1.419549091482002900e+01
7.595799446105957031e+00,2.886948776245117188e+01,3.001515507698059082e+00,1.423230610059351875e+01,3.001515507698059082e+00,1.463718166185765313e+01
7.657893657684326172e+00,3.054711914062500000e+01,2.931970119476318359e+00,1.549486203043792898e+01,2.931970119476318359e+00,1.505225711018707102e+01
7.719987869262695312e+00,2.809044837951660156e+01,2.773158431053161621e+00,1.265374548312374436e+01,2.773158431053161621e+00,1.543670289639285720e+01
7.782082080841064453e+00,2.800149059295654297e+01,2.650598168373107910e+00,1.221498245207655842e+01,2.650598168373107910e+00,1.578650814087998455e+01
7.844176292419433594e+00,2.737471485137939453e+01,2.633446455001831055e+00,1.127705288732597566e+01,2.633446455001831055e+00,1.609766196405341887e+01
7.906270503997802734e+00,2.618252754211425781e+01,2.759671688079833984e+00,9.816374055796114106e+00,2.759671688079833984e+00,1.636615348631814371e+01
7.968364715576171875e+00,2.240556907653808594e+01,2.598818659782409668e+00,5.817597248458973525e+00,2.598818659782409668e+00,1.658797182807911241e+01
8.030458450317382812e+00,2.103190612792968750e+01,2.368359327316284180e+00,4.272801127498713214e+00,2.368359327316284180e+00,1.675910500043097429e+01
8.092554092407226562e+00,1.813422775268554688e+01,2.206462264060974121e+00,1.258680953198428654e+00,2.206462264060974121e+00,1.687554679948711822e+01
8.154647827148437500e+00,1.688875293731689453e+01,2.130261540412902832e+00,-4.452624474556898804e-02,2.130261540412902832e+00,1.693327918206246352e+01
8.216741561889648438e+00,1.588808345794677734e+01,2.091147899627685547e+00,-1.040212340238177546e+00,2.091147899627685547e+00,1.692829579818495489e+01
8.278836250305175781e+00,1.700972843170166016e+01,2.031948089599609375e+00,1.531442053628495614e-01,2.031948089599609375e+00,1.685658422633881059e+01
