# wave, flux, fluxerr, csub, csuberr, spline_flux
1.014166259765625000e+01,1.339440155029296875e+01,1.349109172821044922e+00,1.330725231012008791e+00,1.349109172821044922e+00,1.206367631928095996e+01
1.020375728607177734e+01,1.400868606567382812e+01,1.364780187606811523e+00,1.873316039705597902e+00,1.364780187606811523e+00,1.213537002596823022e+01
1.026585102081298828e+01,1.380458545684814453e+01,1.440822362899780273e+00,1.594796315849846380e+00,1.440822362899780273e+00,1.220978914099829815e+01
1.032794570922851562e+01,1.438780593872070312e+01,1.513963460922241211e+00,2.081584316653724898e+00,1.513963460922241211e+00,1.230622162206697823e+01
1.039003944396972656e+01,1.408716583251953125e+01,1.502938508987426758e+00,1.643216048622848646e+00,1.502938508987426758e+00,1.244394978389668260e+01
1.045213413238525391e+01,1.541469573974609375e+01,1.478536963462829590e+00,2.772432210883192027e+00,1.478536963462829590e+00,1.264226352886290172e+01
1.051422786712646484e+01,1.494025993347167969e+01,1.445299744606018066e+00,2.019817891247605246e+00,1.445299744606018066e+00,1.292044204222407444e+01
1.057632255554199219e+01,1.647862434387207031e+01,1.512712001800537109e+00,3.180844803268122689e+00,1.512712001800537109e+00,1.329777954060394762e+01
1.063841629028320312e+01,1.465336894989013672e+01,1.482236385345458984e+00,8.598192396617001521e-01,1.482236385345458984e+00,1.379354971022843657e+01
1.070051097869873047e+01,1.442705345153808594e+01,1.474816083908081055e+00,1.776356839400250465e-15,1.474816083908081055e+00,1.442705345153808416e+01
1.076260471343994141e+01,1.570086288452148438e+01,1.519452095031738281e+00,5.089687866161209939e-01,1.519452095031738281e+00,1.519189409790536338e+01
1.082469940185546875e+01,1.730119705200195312e+01,1.589144229888916016e+00,1.322132599829176414e+00,1.589144229888916016e+00,1.597906445217277671e+01
1.088679313659667969e+01,1.624880981445312500e+01,1.640160083770751953e+00,-4.285553886610315999e-01,1.640160083770751953e+00,1.667736520311415660e+01
1.094888782501220703e+01,1.619752883911132812e+01,1.658525347709655762e+00,-1.072180553257201296e+00,1.658525347709655762e+00,1.726970939236852942e+01
1.101098155975341797e+01,1.827167510986328125e+01,1.746511459350585938e+00,5.091872732416824476e-01,1.746511459350585938e+00,1.776248783662159880e+01
1.107307624816894531e+01,1.695811843872070312e+01,1.723248600959777832e+00,-1.204006376784793275e+00,1.723248600959777832e+00,1.816212481550549640e+01
1.113516998291015625e+01,1.779103660583496094e+01,1.593218803405761719e+00,-6.839804592151637053e-01,1.593218803405761719e+00,1.847501706505012464e+01
1.119726467132568359e+01,1.952173995971679688e+01,1.577027082443237305e+00,8.141566204379593330e-01,1.577027082443237305e+00,1.870758333927883754e+01
1.125935840606689453e+01,2.049918556213378906e+01,1.534820795059204102e+00,1.632960056038861296e+00,1.534820795059204102e+00,1.886622550609492777e+01
1.132145309448242188e+01,1.728999900817871094e+01,1.538435220718383789e+00,-1.667358573205021344e+00,1.538435220718383789e+00,1.895735758138373228e+01
1.138354682922363281e+01,1.894290161132812500e+01,1.537225723266601562e+00,-4.448416612303773832e-02,1.537225723266601562e+00,1.898738577745116274e+01
1.144564151763916016e+01,1.754466247558593750e+01,1.533557772636413574e+00,-1.418057683929408341e+00,1.533557772636413574e+00,1.896272015951534584e+01
1.150773525238037109e+01,1.707604217529296875e+01,1.572935700416564941e+00,-1.813728321521033138e+00,1.572935700416564941e+00,1.888977049681400189e+01
1.156982994079589844e+01,1.794095230102539062e+01,1.556508064270019531e+00,-8.339913903434563736e-01,1.556508064270019531e+00,1.877494369136884700e+01
1.163192367553710938e+01,1.662577247619628906e+01,1.669488191604614258e+00,-1.998879805682321376e+00,1.669488191604614258e+00,1.862465228187861044e+01
1.169401836395263672e+01,1.940463829040527344e+01,1.758091926574707031e+00,9.593374957658582503e-01,1.758091926574707031e+00,1.844530079463941519e+01
1.175611209869384766e+01,1.811251449584960938e+01,1.793379545211791992e+00,-1.307892544905548959e-01,1.793379545211791992e+00,1.824330375034016427e+01
1.181820678710937500e+01,1.802527427673339844e+01,1.748474836349487305e+00,3.257030537966443262e-04,1.748474836349487305e+00,1.802494857367960179e+01
1.188030052185058594e+01,1.930254554748535156e+01,1.683855056762695312e+00,1.506472113043376027e+00,1.683855056762695312e+00,1.779607343444197554e+01
1.194239521026611328e+01,1.978683090209960938e+01,1.680139541625976562e+00,2.224443528237276979e+00,1.680139541625976562e+00,1.756238737386233240e+01
1.200448894500732422e+01,1.816387748718261719e+01,1.712238311767578125e+00,8.342639625627619182e-01,1.712238311767578125e+00,1.732961352461985527e+01
1.206658363342285156e+01,1.777530670166015625e+01,1.794369578361511230e+00,6.718458934682018935e-01,1.794369578361511230e+00,1.710346080819195436e+01
1.212867736816406250e+01,1.711279678344726562e+01,2.024497032165527344e+00,2.231446575895006390e-01,2.024497032165527344e+00,1.688965212585776499e+01
1.219077205657958984e+01,1.977476119995117188e+01,1.788112163543701172e+00,3.080864218298756896e+00,1.788112163543701172e+00,1.669389698165241498e+01
1.225286579132080078e+01,1.652191734313964844e+01,1.715232849121093750e+00,0.000000000000000000e+00,1.715232849121093750e+00,1.652191734313964844e+01
1.231496047973632812e+01,1.780741882324218750e+01,1.802650690078735352e+00,1.428777148554146947e+00,1.802650690078735352e+00,1.637864167468804055e+01
1.237705421447753906e+01,1.960416793823242188e+01,1.903149127960205078e+00,3.338289108918296222e+00,1.903149127960205078e+00,1.626587882931412565e+01
1.243914890289306641e+01,1.808218574523925781e+01,1.955076217651367188e+00,1.897538217498045299e+00,1.955076217651367188e+00,1.618464752774121251e+01
1.250124263763427734e+01,1.855741500854492188e+01,1.902151465415954590e+00,2.421442579856474708e+00,1.902151465415954590e+00,1.613597242868844717e+01
1.256333732604980469e+01,1.890815162658691406e+01,1.824829936027526855e+00,2.787277405108607553e+00,1.824829936027526855e+00,1.612087422147830651e+01
1.262543106079101562e+01,1.840502357482910156e+01,1.918771862983703613e+00,2.264648041394593747e+00,1.918771862983703613e+00,1.614037553343450782e+01
1.268752574920654297e+01,2.002993774414062500e+01,1.703811883926391602e+00,3.834438596069382754e+00,1.703811883926391602e+00,1.619549914807124225e+01
1.274961948394775391e+01,1.988046646118164062e+01,1.737955570220947266e+00,3.593200925457406214e+00,1.737955570220947266e+00,1.628726553572423441e+01
1.281171417236328125e+01,1.874584960937500000e+01,2.157430648803710938e+00,2.329149909683092545e+00,2.157430648803710938e+00,1.641669969969190745e+01
1.287380790710449219e+01,1.908659362792968750e+01,1.809468746185302734e+00,2.501773800200169262e+00,1.809468746185302734e+00,1.658481982772951824e+01
1.293590259552001953e+01,1.964941596984863281e+01,1.782967090606689453e+00,2.856762701336400312e+00,1.782967090606689453e+00,1.679265326851223250e+01
1.299799728393554688e+01,1.836335563659667969e+01,1.856279969215393066e+00,1.322135699364533679e+00,1.856279969215393066e+00,1.704121993723214601e+01
1.306009101867675781e+01,1.733153724670410156e+01,1.918755650520324707e+00,0.000000000000000000e+00,1.918755650520324707e+00,1.733153724670410156e+01
1.312218475341796875e+01,1.896277618408203125e+01,2.016672849655151367e+00,1.300362249478265397e+00,2.016672849655151367e+00,1.766241393460376585e+01
1.318427944183349609e+01,1.971545600891113281e+01,2.037855625152587891e+00,1.691662710825056593e+00,2.037855625152587891e+00,1.802379329808607622e+01
1.324637413024902344e+01,2.085797119140625000e+01,2.051746845245361328e+00,2.454580544141254705e+00,2.051746845245361328e+00,1.840339064726499529e+01
1.330846786499023438e+01,2.208384513854980469e+01,2.040634870529174805e+00,3.294924965486579538e+00,2.040634870529174805e+00,1.878892017306322515e+01
1.337056159973144531e+01,2.092209434509277344e+01,2.048595428466796875e+00,1.753986087423399454e+00,2.048595428466796875e+00,1.916810825766937398e+01
1.343265628814697266e+01,2.011498260498046875e+01,2.074605464935302734e+00,5.863017112931814268e-01,2.074605464935302734e+00,1.952868089368728732e+01
1.349475097656250000e+01,2.107658195495605469e+01,2.055521488189697266e+00,1.218229682917876033e+00,2.055521488189697266e+00,1.985835227203817865e+01
1.355684471130371094e+01,2.109066581726074219e+01,2.035804033279418945e+00,9.458273352507688969e-01,2.035804033279418945e+00,2.014483848200997329e+01
1.361893844604492188e+01,2.259078979492187500e+01,2.080820560455322266e+00,2.214924278722630646e+00,2.080820560455322266e+00,2.037586551619924435e+01
1.368103313446044922e+01,2.053915596008300781e+01,2.125094175338745117e+00,3.552713678800500929e-15,2.125094175338745117e+00,2.053915596008300426e+01
1.374312782287597656e+01,2.142335319519042969e+01,2.134649515151977539e+00,7.971366323305915103e-01,2.134649515151977539e+00,2.062621656285983818e+01
1.380522155761718750e+01,2.266352272033691406e+01,2.197645902633666992e+00,2.019801789604620978e+00,2.197645902633666992e+00,2.064372093073229308e+01
1.386731529235839844e+01,2.236251068115234375e+01,2.117968797683715820e+00,1.760376120366959896e+00,2.117968797683715820e+00,2.060213456078538385e+01
1.392940998077392578e+01,2.242816925048828125e+01,2.169327259063720703e+00,1.916249930607772711e+00,2.169327259063720703e+00,2.051191931988050854e+01
1.399150466918945312e+01,2.383763885498046875e+01,2.259554386138916016e+00,3.454099380850450984e+00,2.259554386138916016e+00,2.038353947413001777e+01
1.405359840393066406e+01,2.138589096069335938e+01,2.253499507904052734e+00,1.158429326468862541e+00,2.253499507904052734e+00,2.022746163422449683e+01
1.411569309234619141e+01,2.363531875610351562e+01,2.346728086471557617e+00,3.581173829744905390e+00,2.346728086471557617e+00,2.005414492635861023e+01
1.417778682708740234e+01,2.198931503295898438e+01,2.422482490539550781e+00,2.115256652497851775e+00,2.422482490539550781e+00,1.987405838046113260e+01
1.423988151550292969e+01,2.275909042358398438e+01,2.420131921768188477e+00,3.061430038338635029e+00,2.420131921768188477e+00,1.969766038524534935e+01
1.426661109924316406e+01,1.885848999023437500e+01,9.422293603420257568e-01,-7.669838091143930114e-01,9.422293603420257568e-01,1.962547379934876801e+01
1.435830402374267578e+01,1.896026992797851562e+01,9.027647078037261963e-01,-4.489886647426679644e-01,9.027647078037261963e-01,1.940925859272118359e+01
1.444999694824218750e+01,1.899762725830078125e+01,8.564539849758148193e-01,-2.697976876670225010e-01,8.564539849758148193e-01,1.926742494596780375e+01
1.454168987274169922e+01,1.937632846832275391e+01,8.429918289184570312e-01,1.519521428477688119e-01,8.429918289184570312e-01,1.922437632547498509e+01
1.463338279724121094e+01,1.966294193267822266e+01,8.518968820571899414e-01,3.955852423836603293e-01,8.518968820571899414e-01,1.926735669029456233e+01
1.472507572174072266e+01,2.043766212463378906e+01,8.668602108955383301e-01,1.063342001989070695e+00,8.668602108955383301e-01,1.937432012264471837e+01
1.481676864624023438e+01,1.989694786071777344e+01,8.473916053771972656e-01,3.737271559741088822e-01,8.473916053771972656e-01,1.952322070474366456e+01
1.490846061706542969e+01,1.951745796203613281e+01,8.193496465682983398e-01,-1.745527742029793217e-01,8.193496465682983398e-01,1.969201073623911213e+01
