# wave, flux, fluxerr, csub, csuberr, spline_flux
6.234348773956298828e+00,4.606386249203971772e+00,1.779777955427641056e-01,1.802080338954044070e+00,1.779777955427641056e-01,2.804305910249927702e+00
6.265334129333496094e+00,4.008094691971280099e+00,1.629465819519056724e-01,1.220056991550156678e+00,1.629465819519056724e-01,2.788037700421123422e+00
6.296319484710693359e+00,4.343146080993976810e+00,1.565053060566084786e-01,1.570864116390741305e+00,1.565053060566084786e-01,2.772281964603235505e+00
6.327304840087890625e+00,4.161856079491383475e+00,1.529837224145066399e-01,1.404443667093041803e+00,1.529837224145066399e-01,2.757412412398341672e+00
6.358290195465087891e+00,4.012672245153042994e+00,1.683241219116171916e-01,1.268869491744521572e+00,1.683241219116171916e-01,2.743802753408521422e+00
6.389275550842285156e+00,3.297506778389613480e+00,1.441005304547470778e-01,5.656800811537592288e-01,1.441005304547470778e-01,2.731826697235854251e+00
6.420260906219482422e+00,3.141154702304798985e+00,1.375484149724595095e-01,4.192967488223797723e-01,1.375484149724595095e-01,2.721857953482419212e+00
6.451246261596679688e+00,2.730388560918714624e+00,1.331699539036263757e-01,1.611832916842104169e-02,1.331699539036263757e-01,2.714270231750293583e+00
6.482231616973876953e+00,3.630113166646918188e+00,1.374721727780671976e-01,9.206759250053604404e-01,1.374721727780671976e-01,2.709437241641557748e+00
6.513216972351074219e+00,3.532390877931110840e+00,1.324957367945464592e-01,8.246581851728191914e-01,1.324957367945464592e-01,2.707732692758291648e+00
6.544202327728271484e+00,3.397880463669515461e+00,1.460578437468318114e-01,6.883501689669437873e-01,1.460578437468318114e-01,2.709530294702571673e+00
6.575187683105468750e+00,2.949054495176863799e+00,1.522511397397755262e-01,2.338507381003842589e-01,1.522511397397755262e-01,2.715203757076479540e+00
6.606173038482666016e+00,3.375259552055678736e+00,1.629236890940075067e-01,6.501327625735870974e-01,1.629236890940075067e-01,2.725126789482091638e+00
